Equipo,Media_FIFA
RMD,85.9090909090909
ATM,85.27272727272727
FCB,84.9090909090909
SEV,83.0
VIL,81.63636363636364
RSO,81.45454545454545
RYV,75.0
CEL,77.36363636363636
BET,80.0
ATH,80.72727272727273
VAL,79.45454545454545
LEV,78.54545454545455
GRA,78.36363636363636
GET,77.81818181818181
ALA,75.9090909090909
ESP,77.63636363636364
ELC,75.9090909090909
OSA,77.72727272727273
CAD,75.18181818181819
MAL,75.45454545454545
